URL	chrom://desktop-atn1jv4/ChromeleonLocal/Instrument Data/VANQUISH_1/Simon/Norbelladine Figures 3 and 4.seq/840.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	Norbelladine Figures 3 and 4
Name	Norbelladine STD 500uM
Number	10
Position	B:A9
Comment	
Processing Method	norbelladine
Instrument Method	norbelladine
Type	Unknown
Status	Finished
Inject Time	6/9/2022 11:15:05 PM -05:00
Volume (µl)	10.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003367
Time Max. (min)	28.000033
Data Points	8400
Detector	UV
Generating Data System	Chromeleon 7.2.10.24543
Exporting Data System	Chromeleon 7.2.10.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.548796
Signal Max.	60.285786
Channel	UV_VIS_1
Driver Name	VDAD.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:277 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
1.406700	0.2	38.069417
1.410033	0.2	38.176356
1.413367	0.2	38.298122
1.416700	0.2	38.428833
1.420033	0.2	38.563171
1.423367	0.2	38.696309
1.426700	0.2	38.823457
1.430033	0.2	38.939305
1.433367	0.2	39.037745
1.436700	0.2	39.111986
1.440033	0.2	39.155101
1.443367	0.2	39.160703
1.446700	0.2	39.122952
1.450033	0.2	39.036442
1.453367	0.2	38.896566
1.456700	0.2	38.700020
1.460033	0.2	38.444665
1.463367	0.2	38.129110
1.466700	0.2	37.752790
1.470033	0.2	37.316764
1.473367	0.2	36.824183
1.476700	0.2	36.279438
1.480033	0.2	35.687201
1.483367	0.2	35.052691
1.486700	0.2	34.382022
1.490033	0.2	33.681598
1.493367	0.2	32.958007
1.496700	0.2	32.218155
1.500033	0.2	31.468566
1.503367	0.2	30.714693
1.506700	0.2	29.961024
1.510033	0.2	29.211682
1.513367	0.2	28.470987
1.516700	0.2	27.743191
1.520033	0.2	27.031456
1.523367	0.2	26.337435
1.526700	0.2	25.661839
1.530033	0.2	25.005173
1.533367	0.2	24.368116
1.536700	0.2	23.751440
1.540033	0.2	23.155510
1.543367	0.2	22.580009
1.546700	0.2	22.024065
1.550033	0.2	21.486864
1.553367	0.2	20.968257
1.556700	0.2	20.468528
1.560033	0.2	19.987621
1.563367	0.2	19.524852
1.566700	0.2	19.079195
1.570033	0.2	18.649576
1.573367	0.2	18.234947
1.576700	0.2	17.834310
1.580033	0.2	17.446703
1.583367	0.2	17.071189
1.586700	0.2	16.706996
1.590033	0.2	16.353503
1.593367	0.2	16.010404
1.596700	0.2	15.677959
1.600033	0.2	15.356368
1.603367	0.2	15.044911
1.606700	0.2	14.742338
1.610033	0.2	14.448143
1.613367	0.2	14.162594
1.616700	0.2	13.885940
1.620033	0.2	13.617948
1.623367	0.2	13.357974
1.626700	0.2	13.105460
1.630033	0.2	12.860037
1.633367	0.2	12.621158
1.636700	0.2	12.388248
1.640033	0.2	12.161243
1.643367	0.2	11.940482
1.646700	0.2	11.726310
1.650033	0.2	11.519087
1.653367	0.2	11.319197
1.656700	0.2	11.126776
1.660033	0.2	10.941536
1.663367	0.2	10.762941
1.666700	0.2	10.590381
1.670033	0.2	10.423344
1.673367	0.2	10.261494
1.676700	0.2	10.104710
1.680033	0.2	9.952965
1.683367	0.2	9.806124
1.686700	0.2	9.663999
1.690033	0.2	9.526582
1.693367	0.2	9.393999
1.696700	0.2	9.266092
1.700033	0.2	9.142570
1.703367	0.2	9.023403
1.706700	0.2	8.908543
1.710033	0.2	8.797660
1.713367	0.2	8.690259
1.716700	0.2	8.586021
1.720033	0.2	8.484777
1.723367	0.2	8.386225
1.726700	0.2	8.290312
1.730033	0.2	8.197869
1.733367	0.2	8.109850
1.736700	0.2	8.026077
1.740033	0.2	7.945658
1.743367	0.2	7.868153
1.746700	0.2	7.793489
1.750033	0.2	7.721395
1.753367	0.2	7.651518
1.756700	0.2	7.583559
1.760033	0.2	7.517301
1.763367	0.2	7.452667
1.766700	0.2	7.389514
1.770033	0.2	7.327581
1.773367	0.2	7.267264
1.776700	0.2	7.209652
1.780033	0.2	7.155486
1.783367	0.2	7.104562
1.786700	0.2	7.056301
1.790033	0.2	7.010228
1.793367	0.2	6.965962
1.796700	0.2	6.922912
1.800033	0.2	6.880309
1.803367	0.2	6.837836
1.806700	0.2	6.796047
1.810033	0.2	6.756107
1.813367	0.2	6.718752
1.816700	0.2	6.683520
1.820033	0.2	6.649559
1.823367	0.2	6.616721
1.826700	0.2	6.585298
1.830033	0.2	6.555347
1.833367	0.2	6.526653
1.836700	0.2	6.498797
1.840033	0.2	6.471057
1.843367	0.2	6.442633
1.846700	0.2	6.413166
1.850033	0.2	6.382763
1.853367	0.2	6.351899
1.856700	0.2	6.321315
1.860033	0.2	6.291429
1.863367	0.2	6.261747
1.866700	0.2	6.231125
1.870033	0.2	6.198720
1.873367	0.2	6.164201
1.876700	0.2	6.127330
1.880033	0.2	6.088074
1.883367	0.2	6.047143
1.886700	0.2	6.005834
1.890033	0.2	5.965424
1.893367	0.2	5.926499
1.896700	0.2	5.888520
1.900033	0.2	5.850079
1.903367	0.2	5.809842
1.906700	0.2	5.767350
1.910033	0.2	5.723159
1.913367	0.2	5.678446
1.916700	0.2	5.634343
1.920033	0.2	5.591204
1.923367	0.2	5.548405
1.926700	0.2	5.505355
1.930033	0.2	5.462565
1.933367	0.2	5.421038
1.936700	0.2	5.380940
1.940033	0.2	5.341521
1.943367	0.2	5.302029
1.946700	0.2	5.262312
1.950033	0.2	5.222792
1.953367	0.2	5.184161
1.956700	0.2	5.147001
1.960033	0.2	5.111285
1.963367	0.2	5.076313
1.966700	0.2	5.041198
1.970033	0.2	5.005649
1.973367	0.2	4.970417
1.976700	0.2	4.936513
1.980033	0.2	4.904312
1.983367	0.2	4.873709
1.986700	0.2	4.844428
1.990033	0.2	4.816134
1.993367	0.2	4.788749
1.996700	0.2	4.762486
2.000033	0.2	4.737484
2.003367	0.2	4.713563
2.006700	0.2	4.690215
2.010033	0.2	4.666913
2.013367	0.2	4.643388
2.016700	0.2	4.619616
2.020033	0.2	4.596072
2.023367	0.2	4.573660
2.026700	0.2	4.552840
2.030033	0.2	4.532957
2.033367	0.2	4.512984
2.036700	0.2	4.492742
2.040033	0.2	4.472816
2.043367	0.2	4.453729
2.046700	0.2	4.435563
2.050033	0.2	4.417803
2.053367	0.2	4.399759
