URL	chrom://desktop-atn1jv4/ChromeleonLocal/Instrument Data/VANQUISH_1/Simon/Norbelladine Figures 3 and 4.seq/535.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	Norbelladine Figures 3 and 4
Name	TAA fed 500 -3
Number	49
Position	B:E8
Comment	
Processing Method	norbelladine
Instrument Method	norbelladine
Type	Unknown
Status	Finished
Inject Time	6/10/2022 5:53:42 PM -05:00
Volume (µl)	10.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003367
Time Max. (min)	28.000033
Data Points	8400
Detector	UV
Generating Data System	Chromeleon 7.2.10.24543
Exporting Data System	Chromeleon 7.2.10.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.578035
Signal Max.	76.911426
Channel	UV_VIS_1
Driver Name	VDAD.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:277 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
1.013367	0.2	-0.069402
1.016700	0.2	-0.068913
1.020033	0.2	-0.068597
1.023367	0.2	-0.068680
1.026700	0.2	-0.069179
1.030033	0.2	-0.070194
1.033367	0.2	-0.071628
1.036700	0.2	-0.072964
1.040033	0.2	-0.073658
1.043367	0.2	-0.073533
1.046700	0.2	-0.072778
1.050033	0.2	-0.071777
1.053367	0.2	-0.070678
1.056700	0.2	-0.069235
1.060033	0.2	-0.066981
1.063367	0.2	-0.063176
1.066700	0.2	-0.056541
1.070033	0.2	-0.045290
1.073367	0.2	-0.027572
1.076700	0.2	-0.001420
1.080033	0.2	0.036042
1.083367	0.2	0.089658
1.086700	0.2	0.169291
1.090033	0.2	0.299676
1.093367	0.2	0.540642
1.096700	0.2	1.003169
1.100033	0.2	1.826929
1.103367	0.2	3.110422
1.106700	0.2	4.843143
1.110033	0.2	6.899959
1.113367	0.2	9.102654
1.116700	0.2	11.297115
1.120033	0.2	13.391236
1.123367	0.2	15.344177
1.126700	0.2	17.140149
1.130033	0.2	18.776953
1.133367	0.2	20.268448
1.136700	0.2	21.646014
1.140033	0.2	22.952091
1.143367	0.2	24.229148
1.146700	0.2	25.510644
1.150033	0.2	26.817615
1.153367	0.2	28.160210
1.156700	0.2	29.542497
1.160033	0.2	30.968641
1.163367	0.2	32.447795
1.166700	0.2	33.995095
1.170033	0.2	35.627754
1.173367	0.2	37.359027
1.176700	0.2	39.193109
1.180033	0.2	41.122045
1.183367	0.2	43.125269
1.186700	0.2	45.172470
1.190033	0.2	47.229198
1.193367	0.2	49.263481
1.196700	0.2	51.251631
1.200033	0.2	53.181769
1.203367	0.2	55.053677
1.206700	0.2	56.874799
1.210033	0.2	58.654570
1.213367	0.2	60.399952
1.216700	0.2	62.113470
1.220033	0.2	63.792891
1.223367	0.2	65.431963
1.226700	0.2	67.022257
1.230033	0.2	68.555288
1.233367	0.2	70.022685
1.236700	0.2	71.413186
1.240033	0.2	72.708814
1.243367	0.2	73.883487
1.246700	0.2	74.905432
1.250033	0.2	75.742318
1.253367	0.2	76.366444
1.256700	0.2	76.758671
1.260033	0.2	76.911426
1.263367	0.2	76.829894
1.266700	0.2	76.529817
1.270033	0.2	76.032598
1.273367	0.2	75.360299
1.276700	0.2	74.532656
1.280033	0.2	73.566004
1.283367	0.2	72.473725
1.286700	0.2	71.268161
1.290033	0.2	69.962675
1.293367	0.2	68.572536
1.296700	0.2	67.114886
1.300033	0.2	65.608728
1.303367	0.2	64.075007
1.306700	0.2	62.535647
1.310033	0.2	61.010863
1.313367	0.2	59.516607
1.316700	0.2	58.064275
1.320033	0.2	56.661861
1.323367	0.2	55.315136
1.326700	0.2	54.028276
1.330033	0.2	52.803834
1.333367	0.2	51.642652
1.336700	0.2	50.544911
1.340033	0.2	49.511096
1.343367	0.2	48.541757
1.346700	0.2	47.636931
1.350033	0.2	46.796352
1.353367	0.2	46.020211
1.356700	0.2	45.309002
1.360033	0.2	44.662450
1.363367	0.2	44.079414
1.366700	0.2	43.558530
1.370033	0.2	43.098354
1.373367	0.2	42.697340
1.376700	0.2	42.354083
1.380033	0.2	42.067030
1.383367	0.2	41.834102
1.386700	0.2	41.652718
1.390033	0.2	41.519939
1.393367	0.2	41.432809
1.396700	0.2	41.388646
1.400033	0.2	41.384776
1.403367	0.2	41.418118
1.406700	0.2	41.485331
1.410033	0.2	41.583162
1.413367	0.2	41.708383
1.416700	0.2	41.857702
1.420033	0.2	42.027822
1.423367	0.2	42.214859
1.426700	0.2	42.413808
1.430033	0.2	42.619160
1.433367	0.2	42.825709
1.436700	0.2	43.028356
1.440033	0.2	43.221642
1.443367	0.2	43.399707
1.446700	0.2	43.556290
1.450033	0.2	43.684635
1.453367	0.2	43.777833
1.456700	0.2	43.829251
1.460033	0.2	43.832748
1.463367	0.2	43.783016
1.466700	0.2	43.676016
1.470033	0.2	43.509235
1.473367	0.2	43.281405
1.476700	0.2	42.991894
1.480033	0.2	42.640623
1.483367	0.2	42.228322
1.486700	0.2	41.756579
1.490033	0.2	41.228118
1.493367	0.2	40.647029
1.496700	0.2	40.018600
1.500033	0.2	39.348835
1.503367	0.2	38.643726
1.506700	0.2	37.908824
1.510033	0.2	37.149424
1.513367	0.2	36.370745
1.516700	0.2	35.577831
1.520033	0.2	34.775743
1.523367	0.2	33.969609
1.526700	0.2	33.164071
1.530033	0.2	32.363092
1.533367	0.2	31.570490
1.536700	0.2	30.790060
1.540033	0.2	30.024787
1.543367	0.2	29.276116
1.546700	0.2	28.544595
1.550033	0.2	27.831332
1.553367	0.2	27.138176
1.556700	0.2	26.466702
1.560033	0.2	25.817640
1.563367	0.2	25.191084
1.566700	0.2	24.586776
1.570033	0.2	24.004178
1.573367	0.2	23.442418
1.576700	0.2	22.900491
1.580033	0.2	22.377614
1.583367	0.2	21.873144
1.586700	0.2	21.386254
1.590033	0.2	20.916131
1.593367	0.2	20.462256
1.596700	0.2	20.024264
1.600033	0.2	19.601756
1.603367	0.2	19.193930
1.606700	0.2	18.799440
1.610033	0.2	18.417207
1.613367	0.2	18.047406
1.616700	0.2	17.691287
1.620033	0.2	17.350200
1.623367	0.2	17.025117
1.626700	0.2	16.716803
1.630033	0.2	16.426090
1.633367	0.2	16.154149
1.636700	0.2	15.902775
1.640033	0.2	15.674434
1.643367	0.2	15.471997
1.646700	0.2	15.298226
1.650033	0.2	15.155282
1.653367	0.2	15.044636
1.656700	0.2	14.967052
1.660033	0.2	14.922423
1.663367	0.2	14.909995
1.666700	0.2	14.928882
1.670033	0.2	14.978354
1.673367	0.2	15.057400
1.676700	0.2	15.164102
1.680033	0.2	15.295297
1.683367	0.2	15.447019
1.686700	0.2	15.615295
1.690033	0.2	15.796316
1.693367	0.2	15.985882
1.696700	0.2	16.179313
1.700033	0.2	16.371897
1.703367	0.2	16.559367
1.706700	0.2	16.738470
1.710033	0.2	16.907053
1.713367	0.2	17.063217
1.716700	0.2	17.204336
1.720033	0.2	17.327317
1.723367	0.2	17.429162
1.726700	0.2	17.507202
1.730033	0.2	17.559589
1.733367	0.2	17.585610
1.736700	0.2	17.585275
1.740033	0.2	17.558704
1.743367	0.2	17.505754
1.746700	0.2	17.426074
1.750033	0.2	17.319513
1.753367	0.2	17.186487
1.756700	0.2	17.028172
1.760033	0.2	16.846387
1.763367	0.2	16.643112
1.766700	0.2	16.420232
1.770033	0.2	16.179895
1.773367	0.2	15.924731
1.776700	0.2	15.657167
1.780033	0.2	15.378813
1.783367	0.2	15.091058
1.786700	0.2	14.796108
1.790033	0.2	14.497098
1.793367	0.2	14.197119
1.796700	0.2	13.897917
1.800033	0.2	13.599880
1.803367	0.2	13.303356
1.806700	0.2	13.009589
1.810033	0.2	12.720530
1.813367	0.2	12.438293
1.816700	0.2	12.164558
1.820033	0.2	11.900151
1.823367	0.2	11.644866
1.826700	0.2	11.398029
1.830033	0.2	11.159317
1.833367	0.2	10.928982
1.836700	0.2	10.707821
1.840033	0.2	10.496867
1.843367	0.2	10.296567
1.846700	0.2	10.106373
1.850033	0.2	9.925221
1.853367	0.2	9.752074
1.856700	0.2	9.586285
1.860033	0.2	9.427541
1.863367	0.2	9.275461
1.866700	0.2	9.129453
1.870033	0.2	8.989098
1.873367	0.2	8.854512
1.876700	0.2	8.725692
1.880033	0.2	8.601570
1.883367	0.2	8.480521
1.886700	0.2	8.361968
1.890033	0.2	8.246498
1.893367	0.2	8.134656
1.896700	0.2	8.026157
1.900033	0.2	7.920330
1.903367	0.2	7.816996
1.906700	0.2	7.716920
1.910033	0.2	7.621148
1.913367	0.2	7.529762
1.916700	0.2	7.441817
1.920033	0.2	7.356363
1.923367	0.2	7.272889
1.926700	0.2	7.190905
1.930033	0.2	7.109861
1.933367	0.2	7.029488
1.936700	0.2	6.949976
1.940033	0.2	6.871908
1.943367	0.2	6.795945
1.946700	0.2	6.722747
1.950033	0.2	6.653108
1.953367	0.2	6.587487
1.956700	0.2	6.525344
1.960033	0.2	6.465311
1.963367	0.2	6.406060
1.966700	0.2	6.346935
1.970033	0.2	6.288118
1.973367	0.2	6.230325
1.976700	0.2	6.174375
1.980033	0.2	6.120731
1.983367	0.2	6.069564
1.986700	0.2	6.020963
1.990033	0.2	5.974770
1.993367	0.2	5.930751
1.996700	0.2	5.888529
2.000033	0.2	5.847039
2.003367	0.2	5.805139
2.006700	0.2	5.762842
2.010033	0.2	5.721012
2.013367	0.2	5.680081
2.016700	0.2	5.639838
2.020033	0.2	5.600117
2.023367	0.2	5.561337
2.026700	0.2	5.524387
2.030033	0.2	5.489970
2.033367	0.2	5.458063
2.036700	0.2	5.427925
2.040033	0.2	5.398509
2.043367	0.2	5.368674
2.046700	0.2	5.337470
2.050033	0.2	5.304664
2.053367	0.2	5.271081
2.056700	0.2	5.238047
2.060033	0.2	5.206470
2.063367	0.2	5.176230
2.066700	0.2	5.146582
2.070033	0.2	5.117091
2.073367	0.2	5.087825
2.076700	0.2	5.058823
2.080033	0.2	5.029812
2.083367	0.2	5.000564
2.086700	0.2	4.971223
2.090033	0.2	4.942166
2.093367	0.2	4.913798
2.096700	0.2	4.886407
2.100033	0.2	4.859921
2.103367	0.2	4.833960
2.106700	0.2	4.808106
2.110033	0.2	4.782109
2.113367	0.2	4.756199
2.116700	0.2	4.731133
2.120033	0.2	4.707365
2.123367	0.2	4.684385
2.126700	0.2	4.661451
2.130033	0.2	4.638419
2.133367	0.2	4.615560
2.136700	0.2	4.593241
2.140033	0.2	4.571881
2.143367	0.2	4.551481
2.146700	0.2	4.531532
2.150033	0.2	4.511764
2.153367	0.2	4.492379
2.156700	0.2	4.473361
2.160033	0.2	4.454283
2.163367	0.2	4.434804
2.166700	0.2	4.414986
2.170033	0.2	4.395186
2.173367	0.2	4.375791
2.176700	0.2	4.357062
2.180033	0.2	4.339074
2.183367	0.2	4.321584
2.186700	0.2	4.304242
2.190033	0.2	4.287018
2.193367	0.2	4.270179
2.196700	0.2	4.254053
2.200033	0.2	4.238859
2.203367	0.2	4.224521
2.206700	0.2	4.210742
2.210033	0.2	4.197233
2.213367	0.2	4.183552
2.216700	0.2	4.169294
2.220033	0.2	4.154774
2.223367	0.2	4.140818
2.226700	0.2	4.127845
2.230033	0.2	4.115757
2.233367	0.2	4.104283
2.236700	0.2	4.093219
2.240033	0.2	4.082345
2.243367	0.2	4.071598
2.246700	0.2	4.061349
2.250033	0.2	4.052022
2.253367	0.2	4.043286
2.256700	0.2	4.034219
2.260033	0.2	4.024524
2.263367	0.2	4.014974
2.266700	0.2	4.006699
2.270033	0.2	4.000315
2.273367	0.2	3.995760
2.276700	0.2	3.992692
2.280033	0.2	3.990433
2.283367	0.2	3.987835
2.286700	0.2	3.983844
2.290033	0.2	3.978498
2.293367	0.2	3.972710
2.296700	0.2	3.967141
2.300033	0.2	3.961790
2.303367	0.2	3.956333
2.306700	0.2	3.950456
2.310033	0.2	3.944053
2.313367	0.2	3.937231
2.316700	0.2	3.930009
2.320033	0.2	3.922326
2.323367	0.2	3.914223
2.326700	0.2	3.905972
2.330033	0.2	3.898018
2.333367	0.2	3.890698
2.336700	0.2	3.884039
2.340033	0.2	3.877645
2.343367	0.2	3.870511
2.346700	0.2	3.861613
