URL	chrom://desktop-atn1jv4/ChromeleonLocal/Instrument Data/VANQUISH_1/Simon/Norbelladine Figures 3 and 4.seq/650.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	Norbelladine Figures 3 and 4
Name	WT fed 500 -3
Number	75
Position	Y:B5
Comment	
Processing Method	norbelladine
Instrument Method	norbelladine
Type	Unknown
Status	Finished
Inject Time	6/11/2022 6:19:31 AM -05:00
Volume (µl)	10.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003350
Time Max. (min)	28.000017
Data Points	8400
Detector	UV
Generating Data System	Chromeleon 7.2.10.24543
Exporting Data System	Chromeleon 7.2.10.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.545266
Signal Max.	70.751691
Channel	UV_VIS_1
Driver Name	VDAD.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:277 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
1.743350	0.2	13.123336
1.746683	0.2	13.044612
1.750017	0.2	12.953635
1.753350	0.2	12.850412
1.756683	0.2	12.735194
1.760017	0.2	12.608538
1.763350	0.2	12.471280
1.766683	0.2	12.324518
1.770017	0.2	12.169522
1.773350	0.2	12.007775
1.776683	0.2	11.840649
1.780017	0.2	11.668899
1.783350	0.2	11.493219
1.786683	0.2	11.314950
1.790017	0.2	11.135531
1.793350	0.2	10.955799
1.796683	0.2	10.776408
1.800017	0.2	10.598414
1.803350	0.2	10.422887
1.806683	0.2	10.250341
1.810017	0.2	10.081017
1.813350	0.2	9.915391
1.816683	0.2	9.753960
1.820017	0.2	9.596944
1.823350	0.2	9.444542
1.826683	0.2	9.297300
1.830017	0.2	9.155730
1.833350	0.2	9.019729
1.836683	0.2	8.888845
1.840017	0.2	8.762898
1.843350	0.2	8.642040
1.846683	0.2	8.526314
1.850017	0.2	8.415570
1.853350	0.2	8.309530
1.856683	0.2	8.207643
1.860017	0.2	8.109147
1.863350	0.2	8.013756
1.866683	0.2	7.921476
1.870017	0.2	7.831673
1.873350	0.2	7.743430
1.876683	0.2	7.656501
1.880017	0.2	7.571084
1.883350	0.2	7.487466
1.886683	0.2	7.406026
1.890017	0.2	7.326882
1.893350	0.2	7.249671
1.896683	0.2	7.173773
1.900017	0.2	7.098652
1.903350	0.2	7.024128
1.906683	0.2	6.950549
1.910017	0.2	6.878800
1.913350	0.2	6.809821
1.916683	0.2	6.743791
1.920017	0.2	6.679934
1.923350	0.2	6.617317
1.926683	0.2	6.555468
1.930017	0.2	6.494145
1.933350	0.2	6.432957
1.936683	0.2	6.371522
1.940017	0.2	6.309687
1.943350	0.2	6.247670
1.946683	0.2	6.186413
1.950017	0.2	6.127427
1.953350	0.2	6.071725
1.956683	0.2	6.019054
1.960017	0.2	5.968437
1.963350	0.2	5.919179
1.966683	0.2	5.871085
1.970017	0.2	5.824137
1.973350	0.2	5.778591
1.976683	0.2	5.734884
1.980017	0.2	5.692914
1.983350	0.2	5.652136
1.986683	0.2	5.612429
1.990017	0.2	5.573980
1.993350	0.2	5.536457
1.996683	0.2	5.499381
2.000017	0.2	5.462891
2.003350	0.2	5.427646
2.006683	0.2	5.394090
2.010017	0.2	5.361945
2.013350	0.2	5.330667
2.016683	0.2	5.300259
2.020017	0.2	5.270964
2.023350	0.2	5.242471
2.026683	0.2	5.213786
2.030017	0.2	5.184147
2.033350	0.2	5.153893
2.036683	0.2	5.124165
2.040017	0.2	5.095783
2.043350	0.2	5.068756
2.046683	0.2	5.042786
2.050017	0.2	5.017566
2.053350	0.2	4.992746
2.056683	0.2	4.968145
2.060017	0.2	4.943600
2.063350	0.2	4.918538
2.066683	0.2	4.892275
2.070017	0.2	4.864852
2.073350	0.2	4.837462
2.076683	0.2	4.811613
2.080017	0.2	4.787697
2.083350	0.2	4.764744
2.086683	0.2	4.741726
2.090017	0.2	4.718215
2.093350	0.2	4.694224
2.096683	0.2	4.670117
2.100017	0.2	4.646466
2.103350	0.2	4.623560
2.106683	0.2	4.601274
2.110017	0.2	4.579518
2.113350	0.2	4.558354
2.116683	0.2	4.537422
2.120017	0.2	4.515704
2.123350	0.2	4.492672
2.126683	0.2	4.469221
2.130017	0.2	4.446525
2.133350	0.2	4.424606
2.136683	0.2	4.402660
2.140017	0.2	4.380415
2.143350	0.2	4.358385
2.146683	0.2	4.337039
2.150017	0.2	4.316331
